group	group_name	start	end	width	names
13	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/64170/ccs	91	90	0	I
13	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/64170/ccs	312	311	0	I
13	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/64170/ccs	967	967	1	D
13	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/64170/ccs	1007	1006	0	I
13	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/64170/ccs	1030	1029	0	I
14	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/3438/ccs	104	103	0	I
14	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/3438/ccs	641	640	0	I
14	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/3438/ccs	1609	1608	0	I
14	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/3438/ccs	1624	1623	0	I
14	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/3438/ccs	1890	1889	0	I
16	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/4578/ccs	104	117	14	D
17	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5114/ccs	49	49	1	D
17	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5114/ccs	104	103	0	I
17	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5114/ccs	130	129	0	I
17	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5114/ccs	190	190	1	D
17	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5114/ccs	318	317	0	I
17	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5114/ccs	787	787	1	D
17	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5114/ccs	881	880	0	I
17	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5114/ccs	1030	1029	0	I
17	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5114/ccs	1390	1390	1	D
17	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5114/ccs	1890	1890	1	D
17	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5114/ccs	1911	1911	1	D
18	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5921/ccs	518	517	0	I
18	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5921/ccs	719	718	0	I
18	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5921/ccs	907	906	0	I
18	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5921/ccs	951	951	1	D
18	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5921/ccs	1081	1081	1	D
18	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5921/ccs	1395	1394	0	I
18	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5921/ccs	1525	1524	0	I
18	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5921/ccs	1559	1558	0	I
20	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/7192/ccs	877	876	0	I
20	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/7192/ccs	941	940	0	I
20	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/7192/ccs	944	943	0	I
20	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/7192/ccs	1801	1801	1	D
21	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/7955/ccs	532	532	1	D
21	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/7955/ccs	1454	1454	1	D
23	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/9323/ccs	586	586	1	D
23	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/9323/ccs	1825	1825	1	D
24	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/9404/ccs	102	113	12	D
24	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/9404/ccs	456	455	0	I
24	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/9404/ccs	532	532	1	D
24	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/9404/ccs	1673	1673	1	D
25	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/10124/ccs	103	102	0	I
25	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/10124/ccs	940	945	6	D
26	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/11003/ccs	104	103	0	I
26	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/11003/ccs	843	843	1	D
26	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/11003/ccs	946	963	18	D
26	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/11003/ccs	1890	1890	1	D
27	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/11235/ccs	103	102	0	I
27	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/11235/ccs	848	847	0	I
28	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/11547/ccs	102	113	12	D
30	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/12101/ccs	103	102	0	I
30	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/12101/ccs	289	288	0	I
30	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/12101/ccs	1825	1825	1	D
32	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/12490/ccs	197	196	0	I
32	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/12490/ccs	289	288	0	I
32	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/12490/ccs	437	436	0	I
32	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/12490/ccs	448	447	0	I
32	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/12490/ccs	556	555	0	I
32	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/12490/ccs	927	926	0	I
32	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/12490/ccs	1727	1727	1	D
32	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/12490/ccs	1825	1825	1	D
33	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13199/ccs	940	945	6	D
34	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13839/ccs	28	28	1	D
34	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13839/ccs	160	159	0	I
34	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13839/ccs	358	357	0	I
34	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13839/ccs	944	945	2	D
34	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13839/ccs	1167	1167	1	D
34	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13839/ccs	1244	1243	0	I
34	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13839/ccs	1565	1564	0	I
35	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13963/ccs	104	103	0	I
35	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13963/ccs	164	163	0	I
35	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13963/ccs	370	370	1	D
35	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13963/ccs	946	963	18	D
35	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13963/ccs	1058	1057	0	I
35	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13963/ccs	1171	1171	1	D
35	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13963/ccs	1201	1200	0	I
35	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13963/ccs	1324	1323	0	I
35	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13963/ccs	1402	1401	0	I
35	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13963/ccs	1536	1536	1	D
35	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13963/ccs	1609	1609	1	D
35	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/13963/ccs	1825	1825	1	D
36	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14179/ccs	104	103	0	I
36	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14179/ccs	938	937	0	I
36	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14179/ccs	947	964	18	D
36	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14179/ccs	1051	1050	0	I
36	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14179/ccs	1055	1054	0	I
36	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14179/ccs	1149	1148	0	I
36	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14179/ccs	1865	1865	1	D
37	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14272/ccs	103	106	4	D
37	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14272/ccs	112	113	2	D
37	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14272/ccs	223	223	1	D
37	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14272/ccs	283	283	1	D
37	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14272/ccs	289	289	1	D
37	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14272/ccs	886	885	0	I
37	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14272/ccs	1302	1302	1	D
37	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14272/ccs	1319	1318	0	I
37	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/14272/ccs	1492	1492	1	D
39	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/15704/ccs	887	886	0	I
39	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/15704/ccs	1543	1542	0	I
40	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/15791/ccs	104	103	0	I
40	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/15791/ccs	365	364	0	I
40	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/15791/ccs	532	531	0	I
40	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/15791/ccs	1787	1787	1	D
41	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/16031/ccs	104	103	0	I
41	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/16031/ccs	942	945	4	D
41	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/16031/ccs	1167	1166	0	I
42	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/16273/ccs	945	964	20	D
42	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/16273/ccs	1201	1200	0	I
42	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/16273/ccs	1357	1356	0	I
42	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/16273/ccs	1361	1360	0	I
42	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/16273/ccs	1463	1462	0	I
42	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/16273/ccs	1792	1791	0	I
43	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74096/ccs	104	103	0	I
43	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74096/ccs	940	945	6	D
44	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74424/ccs	78	78	1	D
44	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74424/ccs	241	240	0	I
44	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74424/ccs	383	382	0	I
44	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74424/ccs	637	636	0	I
44	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74424/ccs	872	871	0	I
44	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74424/ccs	1740	1740	1	D
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	136	135	0	I
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	153	152	0	I
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	190	190	1	D
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	241	241	1	D
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	279	278	0	I
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	303	302	0	I
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	358	358	1	D
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	380	380	1	D
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	532	532	1	D
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	872	871	0	I
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	946	950	5	D
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	1086	1085	0	I
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	1300	1299	0	I
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	1332	1332	1	D
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	1355	1354	0	I
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	1536	1536	1	D
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	1571	1570	0	I
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	1764	1763	0	I
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	1808	1807	0	I
45	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74578/ccs	1890	1890	1	D
46	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74778/ccs	394	394	1	D
46	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74778/ccs	532	532	1	D
46	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74778/ccs	565	565	1	D
46	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74778/ccs	848	847	0	I
46	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74778/ccs	1007	1007	1	D
46	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74778/ccs	1155	1155	1	D
46	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74778/ccs	1633	1633	1	D
46	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74778/ccs	1801	1801	1	D
46	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74778/ccs	1810	1810	1	D
46	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74778/ccs	1825	1825	1	D
46	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74778/ccs	1861	1861	1	D
46	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74778/ccs	1890	1890	1	D
47	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74813/ccs	103	102	0	I
47	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74813/ccs	157	156	0	I
47	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74813/ccs	235	235	1	D
47	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74813/ccs	264	263	0	I
47	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74813/ccs	326	325	0	I
47	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74813/ccs	586	586	1	D
47	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74813/ccs	877	877	1	D
47	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74813/ccs	897	897	1	D
47	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74813/ccs	940	945	6	D
47	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74813/ccs	1890	1890	1	D
48	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74862/ccs	532	532	1	D
48	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74862/ccs	1865	1865	1	D
49	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74981/ccs	456	455	0	I
49	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74981/ccs	701	700	0	I
49	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74981/ccs	911	910	0	I
49	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74981/ccs	913	912	0	I
49	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74981/ccs	932	931	0	I
49	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74981/ccs	940	945	6	D
49	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74981/ccs	1201	1200	0	I
50	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74993/ccs	3	3	1	D
50	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74993/ccs	28	28	1	D
50	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74993/ccs	212	211	0	I
50	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74993/ccs	586	586	1	D
50	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74993/ccs	915	914	0	I
50	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74993/ccs	937	944	8	D
50	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/74993/ccs	1865	1865	1	D
51	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/76180/ccs	1201	1200	0	I
51	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/76180/ccs	1508	1507	0	I
52	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/76424/ccs	45	45	1	D
52	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/76424/ccs	1787	1787	1	D
53	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/76597/ccs	104	103	0	I
53	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/76597/ccs	940	945	6	D
54	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/76813/ccs	104	103	0	I
54	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/76813/ccs	1016	1015	0	I
55	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77269/ccs	104	103	0	I
55	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77269/ccs	106	105	0	I
55	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77269/ccs	164	163	0	I
55	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77269/ccs	411	410	0	I
55	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77269/ccs	677	677	1	D
55	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77269/ccs	1336	1335	0	I
55	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77269/ccs	1735	1735	1	D
55	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77269/ccs	1787	1787	1	D
55	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77269/ccs	1919	1919	1	D
56	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77389/ccs	103	102	0	I
57	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77650/ccs	49	48	0	I
57	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77650/ccs	485	484	0	I
57	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77650/ccs	586	586	1	D
57	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77650/ccs	663	662	0	I
57	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77650/ccs	751	751	1	D
57	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77650/ccs	848	848	1	D
57	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77650/ccs	946	945	0	I
57	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77650/ccs	1487	1486	0	I
57	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77650/ccs	1810	1810	1	D
57	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77650/ccs	1824	1823	0	I
58	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77718/ccs	26	143	118	D
58	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77718/ccs	939	949	11	D
58	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77718/ccs	1890	1890	1	D
59	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/77934/ccs	28	28	1	D
60	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78084/ccs	104	103	0	I
61	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78203/ccs	77	76	0	I
61	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78203/ccs	103	102	0	I
61	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78203/ccs	306	305	0	I
61	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78203/ccs	440	439	0	I
61	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78203/ccs	515	514	0	I
61	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78203/ccs	704	703	0	I
61	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78203/ccs	793	792	0	I
61	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78203/ccs	833	832	0	I
61	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78203/ccs	888	887	0	I
61	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78203/ccs	1042	1041	0	I
61	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78203/ccs	1328	1327	0	I
61	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78203/ccs	1752	1751	0	I
61	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78203/ccs	1801	1800	0	I
62	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78243/ccs	370	370	1	D
62	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78243/ccs	938	938	1	D
62	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78243/ccs	944	945	2	D
62	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78243/ccs	1604	1604	1	D
62	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78243/ccs	1689	1688	0	I
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	28	28	1	D
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	103	102	0	I
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	331	330	0	I
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	394	394	1	D
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	693	692	0	I
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	892	891	0	I
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	897	896	0	I
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	996	995	0	I
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	1058	1057	0	I
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	1250	1250	1	D
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	1423	1422	0	I
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	1440	1440	1	D
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	1478	1477	0	I
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	1861	1861	1	D
63	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78692/ccs	1890	1890	1	D
64	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78696/ccs	394	394	1	D
64	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/78696/ccs	1012	1012	1	D
65	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/79040/ccs	936	939	4	D
66	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/79244/ccs	104	103	0	I
66	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/79244/ccs	1890	1890	1	D
67	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/79619/ccs	104	103	0	I
67	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/79619/ccs	1890	1890	1	D
68	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/80203/ccs	235	234	0	I
68	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/80203/ccs	287	287	1	D
68	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/80203/ccs	422	421	0	I
68	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/80203/ccs	454	453	0	I
68	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/80203/ccs	847	848	2	D
68	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/80203/ccs	875	874	0	I
68	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/80203/ccs	1145	1144	0	I
68	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/80203/ccs	1211	1210	0	I
68	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/80203/ccs	1214	1213	0	I
68	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/80203/ccs	1229	1228	0	I
68	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/80203/ccs	1382	1381	0	I
68	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/80203/ccs	1698	1697	0	I
