group	group_name	start	end	width	names
37	NA	108	109	2	X
37	NA	110	111	2	=
37	NA	112	113	2	D
37	NA	114	222	109	=
37	NA	223	223	1	D
37	NA	224	282	59	=
37	NA	283	283	1	D
37	NA	284	288	5	=
37	NA	289	289	1	D
37	NA	290	511	222	=
37	NA	512	512	1	X
37	NA	513	513	1	=
37	NA	514	514	1	X
37	NA	515	885	371	=
37	NA	886	885	0	I
37	NA	886	1301	416	=
37	NA	1302	1302	1	D
37	NA	1303	1318	16	=
37	NA	1319	1318	0	I
37	NA	1319	1491	173	=
37	NA	1492	1492	1	D
37	NA	1493	1923	431	=
38	NA	1	1923	1923	=
39	NA	1	886	886	=
39	NA	887	886	0	I
39	NA	887	1542	656	=
39	NA	1543	1542	0	I
39	NA	1543	1923	381	=
39	NA	1924	1923	0	S
40	NA	1	103	103	=
40	NA	104	103	0	I
40	NA	104	364	261	=
40	NA	365	364	0	I
40	NA	365	531	167	=
40	NA	532	531	0	I
40	NA	532	1786	1255	=
40	NA	1787	1787	1	D
40	NA	1788	1923	136	=
41	NA	1	103	103	=
41	NA	104	103	0	I
41	NA	104	941	838	=
41	NA	942	945	4	D
41	NA	946	1166	221	=
41	NA	1167	1166	0	I
41	NA	1167	1923	757	=
42	NA	1	944	944	=
42	NA	945	964	20	D
42	NA	965	1200	236	=
42	NA	1201	1200	0	I
42	NA	1201	1356	156	=
42	NA	1357	1356	0	I
42	NA	1357	1360	4	=
42	NA	1361	1360	0	I
42	NA	1361	1462	102	=
42	NA	1463	1462	0	I
42	NA	1463	1791	329	=
42	NA	1792	1791	0	I
42	NA	1792	1923	132	=
43	NA	1	103	103	=
43	NA	104	103	0	I
43	NA	104	939	836	=
43	NA	940	945	6	D
43	NA	946	1923	978	=
44	NA	1	77	77	=
44	NA	78	78	1	D
44	NA	79	240	162	=
44	NA	241	240	0	I
44	NA	241	382	142	=
44	NA	383	382	0	I
44	NA	383	636	254	=
44	NA	637	636	0	I
44	NA	637	871	235	=
44	NA	872	871	0	I
44	NA	872	1739	868	=
44	NA	1740	1740	1	D
44	NA	1741	1923	183	=
45	NA	1	135	135	=
45	NA	136	135	0	I
45	NA	136	152	17	=
45	NA	153	152	0	I
45	NA	153	189	37	=
45	NA	190	190	1	D
45	NA	191	240	50	=
45	NA	241	241	1	D
45	NA	242	278	37	=
45	NA	279	278	0	I
45	NA	279	302	24	=
45	NA	303	302	0	I
45	NA	303	357	55	=
45	NA	358	358	1	D
45	NA	359	379	21	=
45	NA	380	380	1	D
45	NA	381	531	151	=
45	NA	532	532	1	D
45	NA	533	871	339	=
45	NA	872	871	0	I
45	NA	872	945	74	=
45	NA	946	950	5	D
45	NA	951	1085	135	=
45	NA	1086	1085	0	I
45	NA	1086	1299	214	=
45	NA	1300	1299	0	I
45	NA	1300	1331	32	=
45	NA	1332	1332	1	D
45	NA	1333	1354	22	=
45	NA	1355	1354	0	I
45	NA	1355	1535	181	=
45	NA	1536	1536	1	D
45	NA	1537	1570	34	=
45	NA	1571	1570	0	I
45	NA	1571	1763	193	=
45	NA	1764	1763	0	I
45	NA	1764	1807	44	=
45	NA	1808	1807	0	I
45	NA	1808	1889	82	=
45	NA	1890	1890	1	D
45	NA	1891	1923	33	=
46	NA	1	393	393	=
46	NA	394	394	1	D
46	NA	395	531	137	=
46	NA	532	532	1	D
46	NA	533	564	32	=
46	NA	565	565	1	D
46	NA	566	847	282	=
46	NA	848	847	0	I
46	NA	848	1006	159	=
46	NA	1007	1007	1	D
46	NA	1008	1154	147	=
46	NA	1155	1155	1	D
46	NA	1156	1632	477	=
46	NA	1633	1633	1	D
46	NA	1634	1800	167	=
46	NA	1801	1801	1	D
46	NA	1802	1809	8	=
46	NA	1810	1810	1	D
46	NA	1811	1824	14	=
46	NA	1825	1825	1	D
46	NA	1826	1860	35	=
46	NA	1861	1861	1	D
46	NA	1862	1889	28	=
46	NA	1890	1890	1	D
46	NA	1891	1923	33	=
47	NA	1	102	102	=
47	NA	103	102	0	I
47	NA	103	156	54	=
47	NA	157	156	0	I
47	NA	157	234	78	=
47	NA	235	235	1	D
47	NA	236	263	28	=
47	NA	264	263	0	I
47	NA	264	325	62	=
47	NA	326	325	0	I
47	NA	326	585	260	=
47	NA	586	586	1	D
47	NA	587	876	290	=
47	NA	877	877	1	D
47	NA	878	896	19	=
47	NA	897	897	1	D
47	NA	898	939	42	=
47	NA	940	945	6	D
47	NA	946	1889	944	=
47	NA	1890	1890	1	D
47	NA	1891	1923	33	=
48	NA	1	531	531	=
48	NA	532	532	1	D
48	NA	533	1864	1332	=
48	NA	1865	1865	1	D
48	NA	1866	1923	58	=
49	NA	1	455	455	=
49	NA	456	455	0	I
49	NA	456	700	245	=
49	NA	701	700	0	I
49	NA	701	910	210	=
49	NA	911	910	0	I
49	NA	911	912	2	=
49	NA	913	912	0	I
49	NA	913	931	19	=
49	NA	932	931	0	I
49	NA	932	939	8	=
49	NA	940	945	6	D
49	NA	946	1200	255	=
49	NA	1201	1200	0	I
49	NA	1201	1923	723	=
50	NA	1	2	2	=
50	NA	3	3	1	D
50	NA	4	27	24	=
50	NA	28	28	1	D
50	NA	29	211	183	=
50	NA	212	211	0	I
50	NA	212	585	374	=
50	NA	586	586	1	D
50	NA	587	914	328	=
50	NA	915	914	0	I
50	NA	915	936	22	=
50	NA	937	944	8	D
50	NA	945	1864	920	=
50	NA	1865	1865	1	D
50	NA	1866	1923	58	=
51	NA	1	1200	1200	=
51	NA	1201	1200	0	I
51	NA	1201	1507	307	=
51	NA	1508	1507	0	I
51	NA	1508	1923	416	=
52	NA	1	44	44	=
52	NA	45	45	1	D
52	NA	46	1786	1741	=
52	NA	1787	1787	1	D
52	NA	1788	1923	136	=
53	NA	1	103	103	=
53	NA	104	103	0	I
53	NA	104	939	836	=
53	NA	940	945	6	D
53	NA	946	1923	978	=
54	NA	1	103	103	=
54	NA	104	103	0	I
54	NA	104	1015	912	=
54	NA	1016	1015	0	I
54	NA	1016	1923	908	=
55	NA	1	103	103	=
55	NA	104	103	0	I
55	NA	104	105	2	=
55	NA	106	105	0	I
55	NA	106	163	58	=
55	NA	164	163	0	I
55	NA	164	410	247	=
55	NA	411	410	0	I
55	NA	411	676	266	=
55	NA	677	677	1	D
55	NA	678	1335	658	=
55	NA	1336	1335	0	I
55	NA	1336	1734	399	=
55	NA	1735	1735	1	D
55	NA	1736	1786	51	=
55	NA	1787	1787	1	D
55	NA	1788	1918	131	=
55	NA	1919	1919	1	D
55	NA	1920	1921	2	=
56	NA	1	102	102	=
56	NA	103	102	0	I
56	NA	103	1923	1821	=
57	NA	1	48	48	=
57	NA	49	48	0	I
57	NA	49	484	436	=
57	NA	485	484	0	I
57	NA	485	585	101	=
57	NA	586	586	1	D
57	NA	587	662	76	=
57	NA	663	662	0	I
57	NA	663	750	88	=
57	NA	751	751	1	D
57	NA	752	847	96	=
57	NA	848	848	1	D
57	NA	849	945	97	=
57	NA	946	945	0	I
57	NA	946	962	17	=
57	NA	963	965	3	X
57	NA	966	967	2	=
57	NA	968	970	3	X
57	NA	971	1066	96	=
57	NA	1067	1069	3	X
57	NA	1070	1093	24	=
57	NA	1094	1094	1	X
57	NA	1095	1486	392	=
57	NA	1487	1486	0	I
57	NA	1487	1809	323	=
57	NA	1810	1810	1	D
57	NA	1811	1823	13	=
57	NA	1824	1823	0	I
57	NA	1824	1923	100	=
58	NA	1	25	25	=
58	NA	26	143	118	D
58	NA	144	938	795	=
58	NA	939	949	11	D
58	NA	950	1889	940	=
58	NA	1890	1890	1	D
58	NA	1891	1923	33	=
59	NA	1	27	27	=
59	NA	28	28	1	D
59	NA	29	1922	1894	=
60	NA	1	103	103	=
60	NA	104	103	0	I
60	NA	104	1759	1656	=
60	NA	1760	1760	1	X
60	NA	1761	1923	163	=
61	NA	1	76	76	=
61	NA	77	76	0	I
61	NA	77	102	26	=
61	NA	103	102	0	I
61	NA	103	305	203	=
61	NA	306	305	0	I
61	NA	306	439	134	=
61	NA	440	439	0	I
61	NA	440	514	75	=
61	NA	515	514	0	I
61	NA	515	703	189	=
61	NA	704	703	0	I
61	NA	704	792	89	=
61	NA	793	792	0	I
61	NA	793	832	40	=
61	NA	833	832	0	I
61	NA	833	887	55	=
61	NA	888	887	0	I
61	NA	888	1041	154	=
61	NA	1042	1041	0	I
61	NA	1042	1327	286	=
61	NA	1328	1327	0	I
61	NA	1328	1751	424	=
61	NA	1752	1751	0	I
61	NA	1752	1800	49	=
61	NA	1801	1800	0	I
61	NA	1801	1881	81	=
61	NA	1882	1883	2	X
61	NA	1884	1923	40	=
62	NA	1	369	369	=
62	NA	370	370	1	D
62	NA	371	937	567	=
62	NA	938	938	1	D
62	NA	939	943	5	=
62	NA	944	945	2	D
62	NA	946	946	1	X
62	NA	947	1603	657	=
62	NA	1604	1604	1	D
62	NA	1605	1688	84	=
62	NA	1689	1688	0	I
62	NA	1689	1923	235	=
62	NA	1924	1923	0	S
63	NA	1	27	27	=
63	NA	28	28	1	D
63	NA	29	102	74	=
63	NA	103	102	0	I
63	NA	103	330	228	=
63	NA	331	330	0	I
63	NA	331	393	63	=
63	NA	394	394	1	D
63	NA	395	692	298	=
63	NA	693	692	0	I
63	NA	693	891	199	=
63	NA	892	891	0	I
63	NA	892	896	5	=
63	NA	897	896	0	I
63	NA	897	995	99	=
63	NA	996	995	0	I
63	NA	996	1057	62	=
63	NA	1058	1057	0	I
63	NA	1058	1249	192	=
63	NA	1250	1250	1	D
63	NA	1251	1422	172	=
63	NA	1423	1422	0	I
63	NA	1423	1439	17	=
63	NA	1440	1440	1	D
63	NA	1441	1477	37	=
63	NA	1478	1477	0	I
63	NA	1478	1860	383	=
63	NA	1861	1861	1	D
63	NA	1862	1889	28	=
63	NA	1890	1890	1	D
63	NA	1891	1923	33	=
63	NA	1924	1923	0	S
64	NA	1	393	393	=
64	NA	394	394	1	D
64	NA	395	962	568	=
64	NA	963	965	3	X
64	NA	966	967	2	=
64	NA	968	970	3	X
64	NA	971	1011	41	=
64	NA	1012	1012	1	D
64	NA	1013	1923	911	=
65	NA	1	935	935	=
65	NA	936	939	4	D
65	NA	940	1923	984	=
66	NA	1	103	103	=
66	NA	104	103	0	I
66	NA	104	1889	1786	=
66	NA	1890	1890	1	D
66	NA	1891	1923	33	=
67	NA	1	103	103	=
67	NA	104	103	0	I
67	NA	104	1889	1786	=
67	NA	1890	1890	1	D
67	NA	1891	1923	33	=
68	NA	1	234	234	=
68	NA	235	234	0	I
68	NA	235	286	52	=
68	NA	287	287	1	D
68	NA	288	421	134	=
68	NA	422	421	0	I
68	NA	422	453	32	=
68	NA	454	453	0	I
68	NA	454	666	213	=
68	NA	667	667	1	X
68	NA	668	846	179	=
68	NA	847	848	2	D
68	NA	849	874	26	=
68	NA	875	874	0	I
68	NA	875	1144	270	=
68	NA	1145	1144	0	I
68	NA	1145	1210	66	=
68	NA	1211	1210	0	I
68	NA	1211	1213	3	=
68	NA	1214	1213	0	I
68	NA	1214	1228	15	=
68	NA	1229	1228	0	I
68	NA	1229	1381	153	=
68	NA	1382	1381	0	I
68	NA	1382	1697	316	=
68	NA	1698	1697	0	I
68	NA	1698	1759	62	=
68	NA	1760	1759	0	I
68	NA	1760	1839	80	=
68	NA	1840	1839	0	I
68	NA	1840	1923	84	=
69	NA	1	103	103	=
69	NA	104	162	59	D
69	NA	163	841	679	=
69	NA	842	842	1	X
69	NA	843	844	2	=
69	NA	845	845	1	X
69	NA	846	846	1	=
69	NA	847	854	8	D
69	NA	855	856	2	=
69	NA	857	858	2	X
69	NA	859	861	3	=
69	NA	862	870	9	D
69	NA	871	871	1	X
69	NA	872	878	7	=
69	NA	879	880	2	X
69	NA	881	881	1	=
69	NA	882	883	2	X
69	NA	884	884	1	=
69	NA	885	884	0	I
69	NA	885	886	2	=
69	NA	887	887	1	X
69	NA	888	889	2	=
69	NA	890	893	4	D
69	NA	894	895	2	=
69	NA	896	896	1	X
69	NA	897	899	3	=
69	NA	900	899	0	I
69	NA	900	904	5	=
69	NA	905	905	1	D
69	NA	906	907	2	=
69	NA	908	910	3	X
69	NA	911	911	1	=
69	NA	912	915	4	D
69	NA	916	918	3	=
69	NA	919	918	0	I
69	NA	919	919	1	X
69	NA	920	923	4	=
69	NA	924	923	0	I
69	NA	924	926	3	=
69	NA	927	926	0	I
69	NA	927	930	4	=
69	NA	931	931	1	X
69	NA	932	932	1	=
69	NA	933	944	12	D
69	NA	945	1408	464	=
69	NA	1409	1408	0	I
69	NA	1409	1414	6	=
69	NA	1415	1414	0	I
69	NA	1415	1417	3	=
69	NA	1418	1417	0	I
69	NA	1418	1923	506	=
70	NA	1	27	27	=
70	NA	28	28	1	D
70	NA	29	103	75	=
70	NA	104	103	0	I
70	NA	104	393	290	=
70	NA	394	394	1	D
70	NA	395	1408	1014	=
70	NA	1409	1409	1	D
70	NA	1410	1549	140	=
70	NA	1550	1549	0	I
70	NA	1550	1608	59	=
70	NA	1609	1609	1	D
70	NA	1610	1672	63	=
70	NA	1673	1673	1	D
70	NA	1674	1923	250	=
71	NA	1	1699	1699	=
71	NA	1700	1700	1	X
71	NA	1701	1889	189	=
71	NA	1890	1890	1	D
71	NA	1891	1923	33	=
72	NA	1	44	44	=
72	NA	45	44	0	I
72	NA	45	1923	1879	=
73	NA	1	369	369	=
73	NA	370	370	1	D
73	NA	371	393	23	=
73	NA	394	394	1	D
73	NA	395	1923	1529	=
74	NA	1	1923	1923	=
75	NA	1	44	44	=
75	NA	45	45	1	D
75	NA	46	172	127	=
75	NA	173	173	1	D
75	NA	174	512	339	=
75	NA	513	513	1	D
75	NA	514	572	59	=
75	NA	573	573	1	D
75	NA	574	700	127	=
75	NA	701	701	1	D
75	NA	702	837	136	=
75	NA	838	837	0	I
75	NA	838	1074	237	=
75	NA	1075	1074	0	I
75	NA	1075	1154	80	=
75	NA	1155	1155	1	D
75	NA	1156	1301	146	=
75	NA	1302	1302	1	D
75	NA	1303	1371	69	=
75	NA	1372	1372	1	D
75	NA	1373	1535	163	=
75	NA	1536	1536	1	D
75	NA	1537	1619	83	=
75	NA	1620	1619	0	I
75	NA	1620	1757	138	=
75	NA	1758	1757	0	I
75	NA	1758	1786	29	=
75	NA	1787	1787	1	D
75	NA	1788	1816	29	=
75	NA	1817	1816	0	I
75	NA	1817	1874	58	=
75	NA	1875	1875	1	D
75	NA	1876	1889	14	=
75	NA	1890	1890	1	D
75	NA	1891	1918	28	=
75	NA	1919	1918	0	I
75	NA	1919	1923	5	=
76	NA	1	1923	1923	=
77	NA	1	585	585	=
77	NA	586	586	1	D
77	NA	587	935	349	=
77	NA	936	939	4	D
77	NA	940	1923	984	=
78	NA	1	102	102	=
78	NA	103	103	1	X
78	NA	104	700	597	=
78	NA	701	701	1	D
78	NA	702	1243	542	=
78	NA	1244	1244	1	D
78	NA	1245	1923	679	=
79	NA	1	56	56	=
79	NA	57	56	0	I
79	NA	57	240	184	=
79	NA	241	241	1	D
79	NA	242	285	44	=
79	NA	286	286	1	D
79	NA	287	562	276	=
79	NA	563	562	0	I
79	NA	563	572	10	=
79	NA	573	573	1	D
79	NA	574	591	18	=
79	NA	592	592	1	D
79	NA	593	623	31	=
79	NA	624	624	1	D
79	NA	625	660	36	=
79	NA	661	661	1	D
79	NA	662	754	93	=
79	NA	755	755	1	D
79	NA	756	993	238	=
79	NA	994	994	1	D
79	NA	995	1041	47	=
79	NA	1042	1041	0	I
79	NA	1042	1057	16	=
79	NA	1058	1058	1	D
79	NA	1059	1179	121	=
79	NA	1180	1179	0	I
79	NA	1180	1200	21	=
79	NA	1201	1201	1	D
79	NA	1202	1228	27	=
79	NA	1229	1229	1	D
79	NA	1230	1923	694	=
80	NA	1	103	103	=
80	NA	104	103	0	I
80	NA	104	942	839	=
80	NA	943	944	2	D
80	NA	945	1923	979	=
81	NA	1	101	101	=
81	NA	102	113	12	D
81	NA	114	305	192	=
81	NA	306	306	1	D
81	NA	307	585	279	=
81	NA	586	586	1	D
81	NA	587	1193	607	=
81	NA	1194	1194	1	D
81	NA	1195	1922	728	=
82	NA	1	103	103	=
82	NA	104	103	0	I
82	NA	104	508	405	=
82	NA	509	508	0	I
82	NA	509	1923	1415	=
83	NA	1	103	103	=
83	NA	104	103	0	I
83	NA	104	357	254	=
83	NA	358	358	1	D
83	NA	359	531	173	=
83	NA	532	532	1	D
83	NA	533	549	17	=
83	NA	550	549	0	I
83	NA	550	585	36	=
83	NA	586	586	1	D
83	NA	587	1150	564	=
83	NA	1151	1150	0	I
83	NA	1151	1824	674	=
83	NA	1825	1825	1	D
83	NA	1826	1923	98	=
83	NA	1924	1923	0	S
84	NA	1	13	13	=
84	NA	14	13	0	I
84	NA	14	302	289	=
84	NA	303	302	0	I
84	NA	303	310	8	=
84	NA	311	310	0	I
84	NA	311	342	32	=
84	NA	343	343	1	D
84	NA	344	478	135	=
84	NA	479	478	0	I
84	NA	479	750	272	=
84	NA	751	750	0	I
84	NA	751	922	172	=
84	NA	923	923	1	D
84	NA	924	1091	168	=
84	NA	1092	1092	1	D
84	NA	1093	1439	347	=
84	NA	1440	1440	1	D
84	NA	1441	1701	261	=
84	NA	1702	1701	0	I
84	NA	1702	1715	14	=
84	NA	1716	1716	1	D
84	NA	1717	1875	159	=
84	NA	1876	1877	2	D
84	NA	1878	1887	10	=
84	NA	1888	1888	1	X
84	NA	1889	1889	1	=
84	NA	1890	1890	1	X
84	NA	1891	1923	33	=
85	NA	1	103	103	=
85	NA	104	117	14	D
85	NA	118	1923	1806	=
86	NA	1	102	102	=
86	NA	103	102	0	I
86	NA	103	1923	1821	=
87	NA	1	1923	1923	=
88	NA	1	944	944	=
88	NA	945	964	20	D
88	NA	965	1923	959	=
89	NA	1	102	102	=
89	NA	103	102	0	I
89	NA	103	1923	1821	=
90	NA	1	103	103	=
90	NA	104	103	0	I
90	NA	104	585	482	=
90	NA	586	586	1	D
90	NA	587	1809	1223	=
90	NA	1810	1810	1	D
90	NA	1811	1824	14	=
90	NA	1825	1825	1	D
90	NA	1826	1923	98	=
91	NA	1	362	362	=
91	NA	363	363	1	D
91	NA	364	939	576	=
91	NA	940	945	6	D
91	NA	946	1456	511	=
91	NA	1457	1457	1	D
91	NA	1458	1922	465	=
92	NA	1	288	288	=
92	NA	289	289	1	D
92	NA	290	842	553	=
92	NA	843	843	1	D
92	NA	844	1652	809	=
92	NA	1653	1652	0	I
92	NA	1653	1923	271	=
93	NA	1	1923	1923	=
94	NA	1	103	103	=
94	NA	104	103	0	I
94	NA	104	945	842	=
94	NA	946	963	18	D
94	NA	964	1923	960	=
95	NA	1	103	103	=
95	NA	104	103	0	I
95	NA	104	1923	1820	=
96	NA	1	27	27	=
96	NA	28	28	1	D
96	NA	29	859	831	=
96	NA	860	860	1	D
96	NA	861	1323	463	=
96	NA	1324	1324	1	D
96	NA	1325	1800	476	=
96	NA	1801	1801	1	D
96	NA	1802	1923	122	=
97	NA	1	103	103	=
97	NA	104	103	0	I
97	NA	104	1923	1820	=
98	NA	1	27	27	=
98	NA	28	27	0	I
98	NA	28	507	480	=
98	NA	508	509	2	X
98	NA	510	1923	1414	=
99	NA	1	842	842	=
99	NA	843	843	1	D
99	NA	844	1200	357	=
99	NA	1201	1200	0	I
99	NA	1201	1570	370	=
99	NA	1571	1570	0	I
99	NA	1571	1923	353	=
